,Image,K,R,t,C
0,./images/charuco_exp\IMG_9552.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[-0.07320218  0.75031308 -0.65701729]
 [-0.99730617 -0.05815874  0.04469855]
 [-0.00467339  0.65851943  0.75254921]]","[[-0.06428718]
 [ 0.09197144]
 [ 0.61508999]]","[[ 0.08989228]
 [-0.35146425]
 [-0.50923427]]"
1,./images/charuco_exp\IMG_9553.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[-0.06968267  0.75901024 -0.647339  ]
 [-0.95816807 -0.23149869 -0.1682923 ]
 [-0.27759371  0.60853251  0.74339083]]","[[-0.06134532]
 [ 0.10662134]
 [ 0.69375632]]","[[ 0.29046885]
 [-0.35092885]
 [-0.53749975]]"
2,./images/charuco_exp\IMG_9554.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[-0.08980233  0.733968   -0.673221  ]
 [-0.90445412  0.222924    0.36368618]
 [ 0.41701113  0.64155738  0.64382128]]","[[-0.03795602]
 [ 0.05501829]
 [ 0.66081902]]","[[-0.22921591]
 [-0.4083597 ]
 [-0.47101153]]"
3,./images/charuco_exp\IMG_9555.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[-0.09981342  0.72459248 -0.68191129]
 [-0.96357793  0.10049523  0.2478271 ]
 [ 0.24810249  0.68181115  0.68817056]]","[[-0.05835611]
 [ 0.07131856]
 [ 0.61793588]]","[[-0.09041516]
 [-0.38619835]
 [-0.48271364]]"
4,./images/charuco_exp\IMG_9556.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.1180825   0.70250915  0.7018101 ]
 [-0.9928101   0.09748066  0.06946672]
 [-0.0196119  -0.70496696  0.70896894]]","[[-0.08876418]
 [ 0.07737427]
 [ 0.85264271]]","[[ 0.1040214 ]
 [ 0.65590009]
 [-0.54757654]]"
5,./images/charuco_exp\IMG_9557.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.10399152  0.71030288  0.6961721 ]
 [-0.94182464  0.29526667 -0.16057379]
 [-0.31961244 -0.63897372  0.69968598]]","[[-0.09329802]
 [ 0.0302247 ]
 [ 0.95200011]]","[[ 0.34243965]
 [ 0.66564856]
 [-0.59629636]]"
6,./images/charuco_exp\IMG_9560.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.07547269  0.691636    0.71829208]
 [-0.96597396  0.22942333 -0.11941212]
 [-0.24738268 -0.68483909  0.68541756]]","[[-0.08147785]
 [ 0.04718275]
 [ 0.90319333]]","[[ 0.27516105]
 [ 0.66407029]
 [-0.55490548]]"
7,./images/charuco_exp\IMG_9561.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.0601823   0.62010428  0.78220763]
 [-0.96119228 -0.1753618   0.21297334]
 [ 0.26923502 -0.76466916  0.58548577]]","[[-0.06055709]
 [ 0.07927407]
 [ 1.02165889]]","[[-0.19522426]
 [ 0.8326844 ]
 [-0.56768178]]"
8,./images/charuco_exp\IMG_9562.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.08618725  0.63351815  0.76891255]
 [-0.99530061  0.02055642  0.09462631]
 [ 0.0441414  -0.77345471  0.6323127 ]]","[[-0.06955951]
 [ 0.06286919]
 [ 0.99325016]]","[[ 0.02472543]
 [ 0.81100886]
 [-0.58050858]]"
9,./images/charuco_exp\IMG_9563.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.09059033  0.62399136  0.77616246]
 [-0.98925623 -0.03341164  0.14232281]
 [ 0.11474106 -0.78071662  0.61426057]]","[[-0.05987727]
 [ 0.06077964]
 [ 1.00052964]]","[[-0.04925089]
 [ 0.82052376]
 [-0.57676175]]"
10,./images/charuco_exp\IMG_9564.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.00447537  0.99993944 -0.01005374]
 [-0.91318124  0.00818393  0.40747153]
 [ 0.40752914  0.0073573   0.91316257]]","[[-0.11552418]
 [ 0.0641082 ]
 [ 0.58225952]]","[[-0.1782283 ]
 [ 0.11070867]
 [-0.55898131]]"
11,./images/charuco_exp\IMG_9566.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.99584684 -0.02449783 -0.08768657]
 [-0.03721039  0.76948995 -0.63757399]
 [ 0.08309311  0.6381889   0.76538256]]","[[-0.09162776]
 [-0.11995671]
 [ 0.71920007]]","[[ 0.02702301]
 [-0.36892469]
 [-0.634979  ]]"
12,./images/charuco_exp\IMG_9567.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.96654008  0.20244029  0.15753795]
 [-0.06305492  0.78280485 -0.61906433]
 [-0.24864504  0.58841694  0.76937712]]","[[-0.10028341]
 [-0.11556663]
 [ 0.81993721]]","[[ 0.2935142 ]
 [-0.37169742]
 [-0.68658566]]"
13,./images/charuco_exp\IMG_9570.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.95091784  0.27169835  0.14810561]
 [-0.07424254  0.66495782 -0.74318177]
 [-0.30040524  0.69570906  0.65249183]]","[[-0.09182606]
 [-0.09063191]
 [ 0.67341627]]","[[ 0.28288807]
 [-0.38328641]
 [-0.49315465]]"
14,./images/charuco_exp\IMG_9571.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.92155622 -0.23879626 -0.30612167]
 [-0.06166942  0.68843098 -0.72267535]
 [ 0.38331582  0.68486431  0.61970143]]","[[-0.02932876]
 [-0.09261029]
 [ 0.55374061]]","[[-0.19094065]
 [-0.32248499]
 [-0.41905919]]"
15,./images/charuco_exp\IMG_9572.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.98315551 -0.07798692 -0.16529759]
 [-0.06478273  0.69698762 -0.71415086]
 [ 0.1709048   0.71282978  0.68019501]]","[[-0.06429114]
 [-0.09367822]
 [ 0.52937231]]","[[-0.03333281]
 [-0.31707365]
 [-0.43760396]]"
16,./images/charuco_exp\IMG_9574.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.901157   -0.01103968 -0.43335227]
 [-0.00867752  0.99901596 -0.04349492]
 [ 0.43340601  0.04295618  0.90017443]]","[[-0.02394999]
 [-0.14883076]
 [ 0.77120649]]","[[-0.31395431]
 [ 0.11529183]
 [-0.71107252]]"
17,./images/charuco_exp\IMG_9575.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.98685913 -0.0168955  -0.1606972 ]
 [ 0.11746806  0.75790761  0.64169877]
 [ 0.11095181 -0.65214308  0.74993273]]","[[-0.09881118]
 [-0.14251928]
 [ 0.81464952]]","[[ 0.02386735]
 [ 0.63761503]
 [-0.53535657]]"
18,./images/charuco_exp\IMG_9576.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.93193983  0.1458949  -0.33196811]
 [ 0.11395112  0.75127931  0.65007272]
 [ 0.34424307 -0.6436568   0.68352222]]","[[-0.07505124]
 [-0.13207892]
 [ 0.82721505]]","[[-0.19976927]
 [ 0.64262035]
 [-0.50447358]]"
19,./images/charuco_exp\IMG_9577.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.99742853 -0.01832474 -0.0692859 ]
 [ 0.05527238  0.81208836  0.58091089]
 [ 0.04562123 -0.58324669  0.81101295]]","[[-0.06035811]
 [-0.13591033]
 [ 0.88077365]]","[[ 0.02753301]
 [ 0.62297347]
 [-0.63954901]]"
20,./images/charuco_exp\IMG_9578.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.99442741 -0.09016549  0.05462886]
 [ 0.04131684  0.81005386  0.584898  ]
 [-0.09698994 -0.57938151  0.80926511]]","[[-0.05613224]
 [-0.14519161]
 [ 0.94087655]]","[[ 0.15307385]
 [ 0.6576783 ]
 [-0.67342984]]"
21,./images/charuco_exp\IMG_9579.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.9710277  -0.1740611   0.16373129]
 [ 0.0477571   0.81269097  0.58073457]
 [-0.23414624 -0.55609003  0.7974581 ]]","[[-0.04654196]
 [-0.1377895 ]
 [ 0.98443013]]","[[ 0.28227457]
 [ 0.65131091]
 [-0.69740228]]"
22,./images/charuco_exp\IMG_9580.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.87636212 -0.0128247   0.48148205]
 [-0.03353743  0.99559444  0.08756118]
 [-0.4804838  -0.09288298  0.87207114]]","[[-0.10590873]
 [-0.1483659 ]
 [ 0.80394815]]","[[ 0.47412265]
 [ 0.22102712]
 [-0.63711573]]"
23,./images/charuco_exp\IMG_9581.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.78738604 -0.01041198  0.6163723 ]
 [-0.04837333  0.99573075  0.07861486]
 [-0.61455939 -0.09171622  0.78352083]]","[[-0.11708123]
 [-0.15008513]
 [ 0.78583406]]","[[ 0.56786971]
 [ 0.22029907]
 [-0.53175281]]"
24,./images/charuco_exp\IMG_9582.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[-0.18890762 -0.72959148 -0.65727481]
 [ 0.91028493  0.12097603 -0.39591178]
 [ 0.36836836 -0.67309811  0.64128284]]","[[ 0.15544133]
 [-0.12267902]
 [ 0.84490459]]","[[-0.17019921]
 [ 0.69695357]
 [-0.48822522]]"
25,./images/charuco_exp\IMG_9583.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[-0.58935783 -0.6586013  -0.4678693 ]
 [ 0.79220659 -0.35764882 -0.4944654 ]
 [ 0.15832265 -0.6620662   0.73253142]]","[[ 0.20436407]
 [-0.03637417]
 [ 0.86817744]]","[[ 0.01180726]
 [ 0.6963762 ]
 [-0.55833735]]"
26,./images/charuco_exp\IMG_9584.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[-0.89949227 -0.35767457 -0.25096326]
 [ 0.43667862 -0.75562319 -0.48820629]
 [-0.01501469 -0.54872808  0.83586605]]","[[0.1952724 ]
 [0.06016029]
 [0.87697799]]","[[ 0.16254285]
 [ 0.59652493]
 [-0.65465929]]"
27,./images/charuco_exp\IMG_9585.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.31202187 -0.76334024  0.56564479]
 [ 0.90283894  0.05283823 -0.42672   ]
 [ 0.29584488  0.64383212  0.70565998]]","[[ 0.09882062]
 [-0.11080974]
 [ 0.548875  ]]","[[-0.09317271]
 [-0.27209461]
 [-0.49050122]]"
28,./images/charuco_exp\IMG_9586.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.53674146 -0.72083302  0.43852978]
 [ 0.8327668   0.36900829 -0.41271338]
 [ 0.1356763   0.58671342  0.79834786]]","[[ 0.07578402]
 [-0.13874356]
 [ 0.60417011]]","[[-0.00710696]
 [-0.24864957]
 [-0.57283279]]"
29,./images/charuco_exp\IMG_9587.JPG,"[[2.28489653e+03 0.00000000e+00 6.02693326e+02]
 [0.00000000e+00 2.27240455e+03 5.44316327e+02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00]]","[[ 0.85243062 -0.45295998  0.26113081]
 [ 0.51868282  0.7954861  -0.31332093]
 [-0.06580409  0.40252842  0.91303926]]","[[-0.00590423]
 [-0.16495794]
 [ 0.71481771]]","[[ 0.13763172]
 [-0.15918707]
 [-0.70279963]]"
